Source;Frame;Fix Frame;Frame Period;Parameter;Size (bits);Charge (bps);Fix param in frame;4WD;4WS;ACU;ADAS;ADB;ANC;ATCU;ATCU_eDCT;AUDIOamp;AVM;BCM;BMS_12V;BSG;BSWL;BSWR;CPLC;DOP_RES;DOP_SECU;DOP_TCU;DSMU;DSU;DTOOL;EBA;ECM;EPKB;EPS;ESCL;EVAP;FrCamera;HECM;HEVC;HFM;HUD;HVAC;IDM;IVI;MagicFolding;MBL;METER;PBD;PSCU;RADAR;SceneRecorder;SCU;SONAR;TCU;USM;VADA;VDC;VSP;GW
Connector number;;;;;;;;1;1;1;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;8
ACU;ACU_A1;0;100;PassengerAlertState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
ACU;ACU_A1;0;100;SecondRowCenterSafetyBeltState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;100;;400;;;;;;;100;;;;;
ACU;ACU_A1;0;100;SecondRowLeftSafetyBeltState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;100;;400;;;;;;;100;;;;;
ACU;ACU_A1;0;100;SecondRowRightSafetyBeltState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;100;;400;;;;;;;100;;;;;
ACU;ACU_A1;0;100;ThirdRowLeftSafetyBeltState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;100;;400;;;;;;;100;;;;;
ACU;ACU_A1;0;100;ThirdRowRightSafetyBeltState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;100;;400;;;;;;;100;;;;;
ACU;ACU_A1;0;100;CrashDetected_v2;2;20;0;;;;;;;;;;;100;100;;;;;;;;;;;;100;;;;;;;100;;;;;;;;;;;;100;;;100;;;;;
ACU;ACU_A1;0;100;CrashDetectionOutOfOrder_v2;2;20;0;;;;100;;;;;;;100;;;;;;;;;;;;;100;;;;;;;100;;;;;;;;;;;;;;;100;;;;;
ACU;ACU_A1;0;100;AIRBAGMalfunction;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3000;;;100;;;;;;;;;;;;
ACU;ACU_A1;0;100;RolloverDetectionMalfunction;1;10;0;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;
ACU;ACU_A1;0;100;AirbagWarningLampCheck;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
ACU;ACU_A1;0;100;ActiveHoodMalfunction;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACU;ACU_A1;0;100;ActiveHoodWarningLampCheck;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACU;ACU_A1;0;100;PassengerSafetyBeltBuckleState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;100;;;;;
ACU;ACU_A1;0;100;PassengerPresenceState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
ACU;ACU_A1;0;100;FirstRowCenterSafetyBeltState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;100;;;;;
ACU;ACU_A1;0;100;FirstRowCenterPresenceState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
ACU;ACU_A1;0;100;SecondRowRightPresenceState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
ACU;ACU_A1;0;100;SecondRowLeftPresenceState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
ACU;ACU_A1;0;100;SecondRowCenterPresenceState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
ACU;ACU_A1;0;100;ThirdRowRightPresenceState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
ACU;ACU_A1;0;100;ThirdRowLeftPresenceState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
ACU;ACU_A1;0;100;ThirdRowCenterSafetyBeltState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;100;;;;;
ACU;ACU_A1;0;100;ThirdRowCenterPresenceState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
ACU;ACU_A1;0;100;PassengerAIRBAG_Inhibition;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;1000;;;;;
ACU;ACU_A2;0;500;AirbagCrashOrder_v3;6;12;0;;;;20;;;;;;;500;500;;;;;;;500;;;;;4;;;;;500;;4;100;;500;;0;;;;;;20;;;;100;;;;;
ACU;ACU_A2;0;500;RolloverDetection;1;2;0;;;;100;;;;;;;;;;;;;;;500;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;
ACU;ACU_A2;0;500;DirectionRollover1stCollision;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
ACU;ACU_A2;0;500;DirectionLeft1stCollision;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
ACU;ACU_A2;0;500;SeatBeltStatusPass1stCollision;2;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
ACU;ACU_A2;0;500;SeatBeltStatusDriver1stCollision;2;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
ACU;ACU_A2;0;500;DataSetCollisionValidity;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
ACU;ACU_A2;0;500;DirectionRollover2ndCollision;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
