Frame Name;Identifier (hex);Period (ms);Size (Bytes);Frame Load (%); Frame Load FD(%); Latency (ms);4WD;4WS;ACU;ADAS;ADB;ANC;ATCU;ATCU_eDCT;AUDIOamp;AVM;BCM;BMS_12V;BSG;BSWL;BSWR;CPLC;DOP_RES;DOP_SECU;DOP_TCU;DSMU;DSU;DTOOL;EBA;ECM;EPKB;EPS;ESCL;EVAP;FrCamera;HECM;HEVC;HFM;HUD;HVAC;IDM;IVI;MagicFolding;MBL;METER;PBD;PSCU;RADAR;SceneRecorder;SCU;SONAR;TCU;USM;VADA;VDC;VSP;GW;;fixed routing
Connector number;;;;;;;1;1;1;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;8;;FD?
Connector FD number;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Max Frames Bridge;;;;;;;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
4WD_0;?;10;5;1.888;0.998;0;T;;;R;;;R;R;;;;;;;;;;;;;;;;R;;;;;;;R;;;;;;;;R;;;;;;;;;;R;;;;0
4WD_1;?;100;2;0.136;0.0866;0;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;0
4WD_2;?;1000;1;0.01184;0.00822;0;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;0
FWS_R3;?;10;3;1.536;0.91;0;;T;;R;;;;;;;;;;R;R;;;;;;;;;;;;;;R;;;;;;;R;;;;;;R;;;R;;;R;R;;;;0
FWS_A2;?;200;2;0.068;0.0433;0;;T;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;0
ACU_12;?;4;1;2.96;2.055;0;;;T;R;;;;;;;R;R;;;;;;;R;;;;;R;;;;;R;;R;R;;R;;R;;;R;;;R;;;;R;;;;;;;0
ACU_13;?;100;6;0.2064;0.1042;0;;;T;R;;;;;;;R;R;;;;;;;R;;;;;R;;;;;;;R;;;;;R;R;;R;;;;R;;;R;;;;;;;0
ACU_14;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_15;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_16;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_17;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_18;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_19;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_20;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_21;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_22;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_23;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_24;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_25;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_26;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_27;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_28;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_29;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_30;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_31;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_32;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ADAS_A1;?;10;6;2.064;1.042;0;;;;T;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ADAS_A2;?;10;8;2.416;1.13;0;;;;T;;;R;;;;;;;;;;;;;;;;;R;;;;;R;;R;;;;R;;;;;;;R;;;;;;;;;;;0
ADAS_A3;?;10;8;2.416;1.13;0;;;;T;;;R;;;;;;;;;;;;;;;;;R;;;;;;;R;;;;R;;;;;;;;;;;;;;;;;;0
ADAS_A4;?;10;5;1.888;0.998;0;;;;T;;;R;;;;;;;;;;;;;;;;;R;;;;;;;R;;;;;;;;;;;;;;;;;;R;;;;0
ADAS_A10;?;20;8;1.208;0.565;0;;;;T;;;R;;;;;;;;;;;;;;;;;R;;;;;;;R;;;;R;;;;;;;;;;;;;;;;;;0
ADAS_A11;?;20;5;0.944;0.499;0;;;;T;;;R;;;R;;;;R;R;;;;;;;;;;;;;;R;;;;;;;R;;;R;;;;;;R;;;;;;;;0
ADAS_A12;?;100;8;0.2416;0.113;0;;;R;T;;;R;;;R;;;;R;R;;;;;;;;;R;;;;;R;;R;;R;;;;;;R;;;R;;;R;;;;;;;;0
ADAS_62;?;10;8;2.416;1.13;0;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;0
ADAS_63;?;20;2;0.68;0.433;0;;;;T;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ADAS_64;?;20;1;0.592;0.411;0;;;;T;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ADAS_65;?;500;8;0.04832;0.0226;0;;;R;T;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;R;;;;;;R;;;;;;R;;;;;;;;0
ADAS_66;?;500;8;0.04832;0.0226;0;;;R;T;;;;;;R;;;;R;R;;;;;;;;;;;;;;R;;;;R;;;R;;;R;;;R;;;;;;;;;;;0
